,cum_power,Elec_kW,Gas_mxm
3/2/2014,8245,12,15
3/3/2014,8254,9,15
3/4/2014,8261,11,14
3/5/2014,8267,7,14
3/6/2014,8280,2,14
3/7/2014,8295,3,13
3/8/2014,8302,12,12
3/9/2014,8316,1,10
3/10/2014,8331,0,8
3/11/2014,8344,-3,8
3/12/2014,8359,2,7
3/13/2014,8378,4,9
3/14/2014,8386,2,9
3/15/2014,8402,1,9
3/16/2014,8406,11,12
3/17/2014,8423,0,9
3/18/2014,8430,8,9
3/19/2014,8434,9,11
3/20/2014,8449,3,9
3/21/2014,8467,-1,6
3/22/2014,8479,3,10
